Source File,Page Title,Category,Line Number,Anchor Text,Target URL,Domain,TLD,Subdomain,Path,Protocol,Link Type,Rel,Target,Nofollow,Sponsored,UGC,Blank,HTTP Status
"src/content/blog/7-tren-desain-undangan-pernikahan-digital-2025.md","7 Tren Desain Undangan Pernikahan Digital 2025","Blog",113,"PESAN UNDANGAN DIGITAL","https://wa.me/62895395094329","wa.me","wa.me","","/62895395094329","https:","Markdown","","",false,false,false,false,"302"
"src/content/blog/arti-open-marriage-dalam-pernikahan.md","Pahami Arti Open Marriage dalam Pernikahan di Indonesia","Blog",148,"UU Nomor 1 Tahun 1974 tentang Perkawinan, JDIH BPK","https://peraturan.bpk.go.id/Download/36382/UU%20Nomor%201%20Tahun%201974.pdf","peraturan.bpk.go.id","go.id","peraturan.bpk","/Download/36382/UU%20Nomor%201%20Tahun%201974.pdf","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/arti-open-marriage-dalam-pernikahan.md","Pahami Arti Open Marriage dalam Pernikahan di Indonesia","Blog",149,"PP Nomor 9 Tahun 1975 tentang Pelaksanaan UU Perkawinan, JDIH BPK","https://peraturan.bpk.go.id/Details/67678/pp-no-9-tahun-1975","peraturan.bpk.go.id","go.id","peraturan.bpk","/Details/67678/pp-no-9-tahun-1975","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/arti-open-marriage-dalam-pernikahan.md","Pahami Arti Open Marriage dalam Pernikahan di Indonesia","Blog",150,"Consensual Non-monogamy from a Developmental Perspective, Springer","https://link.springer.com/chapter/10.1007/978-3-030-84273-4_21","link.springer.com","springer.com","link","/chapter/10.1007/978-3-030-84273-4_21","https:","Markdown","","",false,false,false,false,"303"
"src/content/blog/arti-open-marriage-dalam-pernikahan.md","Pahami Arti Open Marriage dalam Pernikahan di Indonesia","Blog",151,"What do we know about consensual non-monogamy?, ScienceDirect","https://www.sciencedirect.com/science/article/pii/S2352250X22001890","www.sciencedirect.com","sciencedirect.com","www","/science/article/pii/S2352250X22001890","https:","Markdown","","",false,false,false,false,"403"
"src/content/blog/background-undangan-pernikahan.md","Kumpulan Background Undangan Pernikahan PNG / JPG Kosong","Blog",120,"Download Background Undangan","https://id.pinterest.com/acaranya/","id.pinterest.com","pinterest.com","id","/acaranya/","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/baju-kebaya-modern-untuk-pesta-pernikahan.md","10 Rekomendasi Model Baju Kebaya Modern untuk Pesta Pernikahan","Blog",26,"BELI SEKARANG","https://s.shopee.co.id/3fuKxan0mG","s.shopee.co.id","co.id","s.shopee","/3fuKxan0mG","https:","Markdown","","",false,false,false,false,"301"
"src/content/blog/baju-pernikahan-adat-betawi.md","Baju Pernikahan Adat Betawi yang Penuh Makna","Blog",65,"batik khas daerah","https://batikkhasdaerah.com/","batikkhasdaerah.com","batikkhasdaerah.com","","/","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/baju-pernikahan-adat-betawi.md","Baju Pernikahan Adat Betawi yang Penuh Makna","Blog",87,"konveksi seragam","https://sintesakonveksi.com/","sintesakonveksi.com","sintesakonveksi.com","","/","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/cara-membuat-website-undangan-pernikahan-sendiri-tanpa-coding.md","Cara Membuat Website Undangan Pernikahan Sendiri Tanpa Coding","Blog",78,"PESAN UNDANGAN DIGITAL","https://wa.me/62895395094329","wa.me","wa.me","","/62895395094329","https:","Markdown","","",false,false,false,false,"302"
"src/content/blog/cara-membuat-website-undangan-pernikahan-sendiri-tanpa-coding.md","Cara Membuat Website Undangan Pernikahan Sendiri Tanpa Coding","Blog",135,"optimasi SEO","https://blog.nandorifky.web.id/2024/12/seo.html","blog.nandorifky.web.id","web.id","blog.nandorifky","/2024/12/seo.html","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/cara-membuat-website-undangan-pernikahan-sendiri-tanpa-coding.md","Cara Membuat Website Undangan Pernikahan Sendiri Tanpa Coding","Blog",137,"tutorial SEO on-page","https://blog.nandorifky.web.id/2024/12/on-page-seo.html","blog.nandorifky.web.id","web.id","blog.nandorifky","/2024/12/on-page-seo.html","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/cara-menuliskan-pangkat-tni-di-undangan-yang-tepat.md","Cara Menuliskan Pangkat TNI di Undangan yang Tepat","Blog",86,"Hubungi Kami","https://wa.me/62895395094329","wa.me","wa.me","","/62895395094329","https:","Markdown","","",false,false,false,false,"302"
"src/content/blog/contoh-undangan-bukber-via-wa.md","Contoh Undangan Bukber via WA","Blog",65,"Hubungi Kami","https://wa.me/62895395094329/?text=Halo%20Acaranya.id%2C%20saya%20ingin%20pesan%20undangan%20bukber%20online.","wa.me","wa.me","","/62895395094329/","https:","Markdown","","",false,false,false,false,"302"
"src/content/blog/contoh-undangan-ngunduh-mantu.md","5 Contoh Undangan Ngunduh Mantu dan Cara Membuatnya","Blog",271,"Hubungi Kami","https://wa.me/62895395094329","wa.me","wa.me","","/62895395094329","https:","Markdown","","",false,false,false,false,"302"
"src/content/blog/contoh-undangan-pernikahan-bahasa-jawa.md","9 Contoh Undangan Pernikahan Bahasa Jawa Halus dan Sopan","Blog",334,"Download","https://docs.google.com/document/d/1I9HpKk20gbtx6k7Hnfqy5X8i4nOzr7kG6QnEa6wqFDE/edit?usp=sharing","docs.google.com","google.com","docs","/document/d/1I9HpKk20gbtx6k7Hnfqy5X8i4nOzr7kG6QnEa6wqFDE/edit","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/contoh-undangan-pernikahan-digital.md","Contoh Undangan Pernikahan Digital","Blog",67,"YouTube Acaranya ID","https://youtu.be/YM1H5VXPEPk","youtu.be","youtu.be","","/YM1H5VXPEPk","https:","Markdown","","",false,false,false,false,"303"
"src/content/blog/contoh-undangan-pernikahan-islami.md","5 Contoh Undangan Pernikahan Islami Unik dan Menarik","Blog",192,"Download","https://www.temploola.com/wedding-invitations/item/geometric-winter-template/","www.temploola.com","temploola.com","www","/wedding-invitations/item/geometric-winter-template/","https:","Markdown","nofollow","",true,false,false,false,"200"
"src/content/blog/contoh-undangan-pernikahan.md","Contoh Undangan Pernikahan","Blog",47,"Pinterest","https://id.pinterest.com/acaranya/","id.pinterest.com","pinterest.com","id","/acaranya/","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/contoh-undangan-walimatul-ursy-dan-format-penulisannya.md","Contoh Undangan Walimatul Ursy dan Format Penulisannya","Blog",40,"Nu Online","https://jatim.nu.or.id/keislaman/menggelar-walimah-nikah-bagaimana-hukumnya-8NgIU","jatim.nu.or.id","or.id","jatim.nu","/keislaman/menggelar-walimah-nikah-bagaimana-hukumnya-8NgIU","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/desain-undangan-pernikahan-aesthetic.mdoc","Contoh Desain Undangan Pernikahan Aesthetic, Jarang Dipakai!","Blog",60,"Cek Media Sosial Kami","https://www.instagram.com/acaranya.id/","www.instagram.com","instagram.com","www","/acaranya.id/","https:","Markdown","","",false,false,false,false,"200"
"src/content/blog/kata-kata-undangan-ulang-tahun-anak.md","5 Contoh Kata-Kata Undangan Ulang Tahun Anak","Blog",34,"PESAN UNDANGAN ULANG TAHUN ANAK DIGITAL","https://wa.me/62895395094329","wa.me","wa.me","","/62895395094329","https:","Markdown","","",false,false,false,false,"302"
"src/content/blog/kata-kata-undangan-ulang-tahun-anak.md","5 Contoh Kata-Kata Undangan Ulang Tahun Anak","Blog",51,"Acaranya.id","https://wa.me/62895395094329","wa.me","wa.me","","/62895395094329","https:","Markdown","","",false,false,false,false,"302"
"src/content/blog/kata-kata-undangan-ulang-tahun-anak.md","5 Contoh Kata-Kata Undangan Ulang Tahun Anak","Blog",104,"Acaranya.id","https://wa.me/62895395094329","wa.me","wa.me","","/62895395094329","https:","Markdown","","",false,false,false,false,"302"
